_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
1,A0496029,ZOEY,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2005-05-01,20,2025-07-14,MED R,STRAY,OTC,,2025-08-07,RTO,,MED R,1ST ST AND ALMA,SAN JOSE,2025-08-07
2,A0761209,BOLT,DOG,BLACK,TAN,CHIHUAHUA LH,MALE,2008-11-15,17,2025-07-18,MED M,STRAY,OTC,,2025-07-19,RTO,,MED M,SAN FELIPE RD/FOWLER RD,SAN JOSE,2025-07-19
3,A0778118,ZOEY ROSE,DOG,CHOCOLATE,,LABRADOR RETR,SPAYED,2011-07-16,14,2025-07-29,MED M,STRAY,FIELD,,2025-07-29,RTO,,HEALTHY,LEAN AVE X COLVILLE DR,SAN JOSE,2025-07-29
4,A0798009,,CAT,TABBY-BRN,,DOMESTIC LH,NEUTERED,2012-03-20,13,2025-07-31,MED EMERG,STRAY,MEDVET,,2025-07-31,EUTH,,MED EMERG,INNOVATION DR. / ZANKER RD.,SAN JOSE,2025-09-09
5,A0805228,PADDY,CAT,BLACK,WHITE,DOMESTIC MH,NEUTERED,2012-07-26,13,2025-10-04,MED R,STRAY,OTC,IP ADOPT,2025-10-05,RTO,,HEALTHY,WATER ST X SYLVANDALE,SAN JOSE,2025-10-05
6,A0807591,REX,DOG,BROWN,TAN,MIN PINSCHER,NEUTERED,2009-10-16,16,2025-07-22,HEALTHY,STRAY,OTC,,2025-08-06,RESCUE,,HEALTHY,BLOSSOM HILL X LEAN,SAN JOSE,2025-08-06
7,A0822868,RED,DOG,TAN,,PIT BULL,MALE,2012-04-26,13,2025-09-05,HEALTHY,STRAY,OTC,IP ADOPT,2025-09-27,RESCUE,,MED M,N CAPITOL AVE/TRADEZONE BLVD,SAN JOSE,2025-09-27
8,A0868772,PEARL,DOG,WHITE,,CHIHUAHUA SH,FEMALE,2013-02-27,12,2025-10-21,HEALTHY,CONFISCATE,ASO,,2025-10-28,RTO,,HEALTHY,,SAN JOSE,2025-10-28
9,A0877566,BELLA,DOG,BLACK,,LABRADOR RETR,FEMALE,2013-08-13,12,2025-10-16,HEALTHY,STRAY,OTC,,2025-10-16,RTO,,,CHESBRO AVE/BLOSSOM HILL,SAN JOSE,2025-10-16
10,A0902448,GINGER,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2013-07-20,12,2025-07-20,HEALTHY,OWNER SUR,OTC,,,,,,,SAN JOSE,2026-03-09
